Parma , Sparta Prague,group,"Stadio Ennio Tardini, Parma",2,2,1997-11-27 20:45:00+01:00
Borussia Dortmund , Galatasaray,group,"Westfalenstadion, Dortmund",4,1,1997-11-27 20:45:00+01:00
Galatasaray , Parma,group,"Ali Sami Yen Stadium, Istanbul",1,1,1997-12-10 20:45:00+01:00
Sparta Prague , Borussia Dortmund,group,"Letná Stadium, Prague",0,3,1997-12-10 20:45:00+01:00
Juventus , Feyenoord,group,"Stadio delle Alpi, Turin",5,1,1997-09-17 20:45:00+02:00
Košice , Manchester United,group,"Štadión Lokomotívy, Košice",0,3,1997-09-17 20:45:00+02:00
Manchester United , Juventus,group,"Old Trafford, Manchester",3,2,1997-10-01 20:45:00+02:00
Feyenoord , Košice,group,"Feijenoord Stadium, Rotterdam",2,0,1997-10-01 20:45:00+02:00
Košice , Juventus,group,"Štadión Lokomotívy, Košice",0,1,1997-10-22 20:45:00+02:00
Manchester United , Feyenoord,group,"Old Trafford, Manchester",2,1,1997-10-22 20:45:00+02:00
Juventus , Košice,group,"Stadio delle Alpi, Turin",3,2,1997-11-05 20:45:00+01:00
Feyenoord , Manchester United,group,"Feijenoord Stadion, Rotterdam",1,3,1997-11-05 20:45:00+01:00
Feyenoord , Juventus,group,"Feijenoord Stadion, Rotterdam",2,0,1997-11-26 20:45:00+01:00
Manchester United , Košice,group,"Old Trafford, Manchester",3,0,1997-11-27 20:45:00+01:00
Juventus , Manchester United,group,"Stadio delle Alpi, Turin",1,0,1997-12-10 20:45:00+01:00
Košice , Feyenoord,group,"Štadión Lokomotívy, Košice",0,1,1997-12-10 20:45:00+01:00
Newcastle United , Barcelona,group,"St James' Park, Newcastle",3,2,1997-09-17 20:45:00+02:00
PSV Eindhoven , Dynamo Kyiv,group,"Philips Stadion, Eindhoven",1,3,1997-09-17 20:45:00+02:00
Dynamo Kyiv , Newcastle United,group,"Olympic Stadium, Kiev",2,2,1997-10-01 18:45:00+02:00
Barcelona , PSV Eindhoven,group,"Camp Nou, Barcelona",2,2,1997-10-01 20:45:00+02:00
PSV Eindhoven , Newcastle United,group,"Philips Stadion, Eindhoven",1,0,1997-10-22 20:45:00+02:00
Dynamo Kyiv , Barcelona,group,"Olympic Stadium, Kiev",3,0,1997-10-22 20:45:00+02:00
Newcastle United , PSV Eindhoven,group,"St James' Park, Newcastle",0,2,1997-11-05 20:45:00+01:00
Barcelona , Dynamo Kyiv,group,"Camp Nou, Barcelona",0,4,1997-11-05 20:45:00+01:00
Barcelona , Newcastle United,group,"Camp Nou, Barcelona",1,0,1997-11-26 20:45:00+01:00
Dynamo Kyiv , PSV Eindhoven,group,"Olympic Stadium, Kiev",1,1,1997-11-27 20:45:00+01:00
PSV Eindhoven , Barcelona,group,"Philips Stadion, Eindhoven",2,2,1997-12-10 20:45:00+01:00
Newcastle United , Dynamo Kyiv,group,"St James' Park, Newcastle",2,0,1997-12-10 20:45:00+01:00
Real Madrid , Rosenborg,group,"Santiago Bernabéu, Madrid",4,1,1997-09-17 20:45:00+02:00
Olympiacos , Porto,group,"Olympic Stadium, Athens",1,0,1997-09-17 21:45:00+02:00
Porto , Real Madrid,group,"Estádio das Antas, Porto",0,2,1997-10-01 20:45:00+02:00
